lsoacode,lsoaname,laname,wimd2019
W01001123,St. Augustine's 1,Vale of Glamorgan,6.1
W01001124,St. Augustine's 2,Vale of Glamorgan,10.7
W01001125,St. Augustine's 3,Vale of Glamorgan,6.8
W01001126,St. Augustine's 4,Vale of Glamorgan,8.1
W01001127,St. Bride's Major 1,Vale of Glamorgan,6.7
W01001128,St. Bride's Major 2,Vale of Glamorgan,5.7
W01001129,Stanwell 1,Vale of Glamorgan,17.2
W01001130,Stanwell 2,Vale of Glamorgan,3.2
W01001131,Stanwell 3,Vale of Glamorgan,19.8
W01001132,Sully 1,Vale of Glamorgan,3.4
W01001133,Sully 2,Vale of Glamorgan,2.5
W01001134,Sully 3,Vale of Glamorgan,5.4
W01001135,Wenvoe 1,Vale of Glamorgan,6.8
W01001136,Wenvoe 2,Vale of Glamorgan,5.9
W01001137,Aberaman North 1,Rhondda Cynon Taf,30.7
W01001138,Aberaman North 2,Rhondda Cynon Taf,40.2
W01001139,Aberaman North 3,Rhondda Cynon Taf,20.0
W01001140,Aberaman South 1,Rhondda Cynon Taf,32.0
W01001141,Aberaman South 2,Rhondda Cynon Taf,37.6
W01001142,Aberaman South 3,Rhondda Cynon Taf,40.1
W01001143,Abercynon 1,Rhondda Cynon Taf,17.2
W01001144,Abercynon 2,Rhondda Cynon Taf,65.4
W01001145,Abercynon 3,Rhondda Cynon Taf,28.0
W01001146,Abercynon 4,Rhondda Cynon Taf,15.9
W01001147,Aberdare East 1,Rhondda Cynon Taf,18.5
W01001148,Aberdare East 2,Rhondda Cynon Taf,25.9
W01001149,Aberdare East 3,Rhondda Cynon Taf,22.0
W01001150,Aberdare East 4,Rhondda Cynon Taf,38.3
W01001151,Aberdare West/Llwydcoed 1,Rhondda Cynon Taf,11.5
W01001152,Aberdare West/Llwydcoed 2,Rhondda Cynon Taf,14.5
W01001153,Aberdare West/Llwydcoed 3,Rhondda Cynon Taf,31.2
W01001154,Aberdare West/Llwydcoed 4,Rhondda Cynon Taf,30.4
W01001155,Aberdare West/Llwydcoed 5,Rhondda Cynon Taf,26.1
W01001156,Aberdare West/Llwydcoed 6,Rhondda Cynon Taf,2.0
W01001157,Beddau 1,Rhondda Cynon Taf,10.1
W01001158,Beddau 2,Rhondda Cynon Taf,24.0
W01001159,Beddau 3,Rhondda Cynon Taf,4.6
W01001160,Brynna 1,Rhondda Cynon Taf,7.5
W01001161,Brynna 2,Rhondda Cynon Taf,11.5
W01001162,Church Village 1,Rhondda Cynon Taf,28.2
W01001164,Cilfynydd 1,Rhondda Cynon Taf,20.5
W01001165,Cilfynydd 2,Rhondda Cynon Taf,22.0
W01001166,Cwm Clydach 1,Rhondda Cynon Taf,44.0
W01001167,Cwm Clydach 2,Rhondda Cynon Taf,26.8
W01001168,Cwmbach 1,Rhondda Cynon Taf,23.0
W01001169,Cwmbach 2,Rhondda Cynon Taf,41.6
W01001170,Cwmbach 3,Rhondda Cynon Taf,8.8
W01001171,Cymmer (Rhondda Cynon Taf) 1,Rhondda Cynon Taf,22.0
W01001172,Cymmer (Rhondda Cynon Taf) 2,Rhondda Cynon Taf,19.8
W01001173,Cymmer (Rhondda Cynon Taf) 3,Rhondda Cynon Taf,52.9
W01001174,Cymmer (Rhondda Cynon Taf) 4,Rhondda Cynon Taf,55.2
W01001175,Ferndale 1,Rhondda Cynon Taf,23.5
W01001176,Ferndale 2,Rhondda Cynon Taf,24.2
W01001177,Ferndale 3,Rhondda Cynon Taf,29.4
W01001178,Gilfach Goch 1,Rhondda Cynon Taf,20.3
W01001179,Gilfach Goch 2,Rhondda Cynon Taf,45.4
W01001180,Glyncoch 1,Rhondda Cynon Taf,61.8
W01001181,Glyncoch 2,Rhondda Cynon Taf,30.0
W01001182,Graig (Rhondda Cynon Taf) 1,Rhondda Cynon Taf,24.5
W01001183,Graig (Rhondda Cynon Taf) 2,Rhondda Cynon Taf,38.4
W01001184,Hawthorn 1,Rhondda Cynon Taf,15.0
W01001185,Hawthorn 2,Rhondda Cynon Taf,33.0
W01001186,Hirwaun 1,Rhondda Cynon Taf,17.2
W01001187,Hirwaun 2,Rhondda Cynon Taf,23.1
W01001188,Hirwaun 3,Rhondda Cynon Taf,45.4
W01001189,Llanharan 1,Rhondda Cynon Taf,24.0
W01001190,Llanharan 2,Rhondda Cynon Taf,7.4
W01001191,Llanharry 1,Rhondda Cynon Taf,6.7
W01001192,Llanharry 2,Rhondda Cynon Taf,39.1
W01001193,Llantrisant Town 1,Rhondda Cynon Taf,4.8
W01001194,Llantrisant Town 2,Rhondda Cynon Taf,3.7
W01001195,Llantrisant Town 3,Rhondda Cynon Taf,14.8
W01001196,Llantwit Fardre 1,Rhondda Cynon Taf,5.1
W01001197,Llantwit Fardre 2,Rhondda Cynon Taf,2.2
W01001198,Llantwit Fardre 3,Rhondda Cynon Taf,5.6
W01001199,Llantwit Fardre 4,Rhondda Cynon Taf,6.3
W01001200,Llwyn-y-pia 1,Rhondda Cynon Taf,27.2
W01001201,Llwyn-y-pia 2,Rhondda Cynon Taf,47.0
W01001202,Maerdy 1,Rhondda Cynon Taf,50.4
W01001203,Maerdy 2,Rhondda Cynon Taf,61.4
W01001204,Mountain Ash East 1,Rhondda Cynon Taf,16.8
W01001205,Mountain Ash East 2,Rhondda Cynon Taf,29.7
W01001206,Mountain Ash West 1,Rhondda Cynon Taf,29.2
W01001207,Mountain Ash West 2,Rhondda Cynon Taf,48.9
W01001208,Mountain Ash West 3,Rhondda Cynon Taf,34.3
W01001209,Penrhiwceiber 1,Rhondda Cynon Taf,74.8
W01001210,Penrhiwceiber 2,Rhondda Cynon Taf,38.3
W01001211,Penrhiwceiber 3,Rhondda Cynon Taf,31.3
W01001212,Penrhiwceiber 4,Rhondda Cynon Taf,34.3
W01001213,Pentre 1,Rhondda Cynon Taf,26.0
W01001214,Pentre 2,Rhondda Cynon Taf,10.2
W01001215,Pentre 3,Rhondda Cynon Taf,48.5
W01001216,Pentre 4,Rhondda Cynon Taf,28.5
W01001217,Pen-y-graig 1,Rhondda Cynon Taf,38.8
W01001218,Pen-y-graig 2,Rhondda Cynon Taf,23.0
W01001219,Pen-y-graig 3,Rhondda Cynon Taf,51.5
W01001220,Pen-y-graig 4,Rhondda Cynon Taf,22.2
W01001221,Pen-y-waun 1,Rhondda Cynon Taf,52.4
W01001222,Pen-y-waun 2,Rhondda Cynon Taf,70.6
W01001223,Pont-y-clun 1,Rhondda Cynon Taf,4.6
W01001224,Pont-y-clun 2,Rhondda Cynon Taf,1.3
W01001225,Pont-y-clun 3,Rhondda Cynon Taf,2.1
W01001226,Pont-y-clun 4,Rhondda Cynon Taf,14.4
W01001227,Pontypridd Town 1,Rhondda Cynon Taf,9.6
W01001228,Pontypridd Town 2,Rhondda Cynon Taf,17.2
W01001229,Porth 1,Rhondda Cynon Taf,21.7
W01001230,Porth 2,Rhondda Cynon Taf,12.8
W01001231,Porth 3,Rhondda Cynon Taf,31.9
W01001232,Porth 4,Rhondda Cynon Taf,27.1
W01001233,Rhigos,Rhondda Cynon Taf,22.8
W01001234,Rhondda 1,Rhondda Cynon Taf,22.7
W01001235,Rhondda 2,Rhondda Cynon Taf,28.9
W01001236,Rhondda 3,Rhondda Cynon Taf,12.6
W01001237,Rhydfelen Central / Llan 1,Rhondda Cynon Taf,42.2
W01001238,Rhydfelen Central / Llan 2,Rhondda Cynon Taf,67.3
W01001239,Rhydfelen Central / Llan 3,Rhondda Cynon Taf,48.3
W01001240,Taffs Well 1,Rhondda Cynon Taf,12.5
W01001241,Taffs Well 2,Rhondda Cynon Taf,15.0
W01001242,Talbot Green 1,Rhondda Cynon Taf,9.3
W01001243,Talbot Green 2,Rhondda Cynon Taf,31.0
W01001244,Ton-teg 1,Rhondda Cynon Taf,9.1
W01001245,Ton-teg 2,Rhondda Cynon Taf,6.7
W01001246,Ton-teg 3,Rhondda Cynon Taf,14.1
W01001247,Tonypandy 1,Rhondda Cynon Taf,28.9
W01001248,Tonypandy 2,Rhondda Cynon Taf,25.2
W01001249,Tonyrefail East 1,Rhondda Cynon Taf,24.5
W01001250,Tonyrefail East 2,Rhondda Cynon Taf,20.7
W01001251,Tonyrefail East 3,Rhondda Cynon Taf,54.4
W01001252,Tonyrefail East 4,Rhondda Cynon Taf,6.9
W01001253,Tonyrefail West 1,Rhondda Cynon Taf,26.0
W01001255,Tonyrefail West 3,Rhondda Cynon Taf,44.6
W01001256,Trallwng 1,Rhondda Cynon Taf,23.4
W01001257,Trallwng 2,Rhondda Cynon Taf,10.7
W01001258,Trallwng 3,Rhondda Cynon Taf,27.1
W01001259,Trealaw 1,Rhondda Cynon Taf,26.6
W01001260,Trealaw 2,Rhondda Cynon Taf,52.5
W01001261,Trealaw 3,Rhondda Cynon Taf,36.6
W01001262,Treforest 1,Rhondda Cynon Taf,25.4
W01001263,Treforest 2,Rhondda Cynon Taf,20.0
W01001264,Treforest 3,Rhondda Cynon Taf,18.3
W01001265,Treherbert 1,Rhondda Cynon Taf,28.7
W01001266,Treherbert 2,Rhondda Cynon Taf,51.1
W01001267,Treherbert 3,Rhondda Cynon Taf,39.9
W01001268,Treherbert 4,Rhondda Cynon Taf,37.6
W01001269,Treorchy 1,Rhondda Cynon Taf,19.5
W01001270,Treorchy 2,Rhondda Cynon Taf,21.9
W01001271,Treorchy 3,Rhondda Cynon Taf,32.5
W01001272,Treorchy 4,Rhondda Cynon Taf,26.5
W01001273,Treorchy 5,Rhondda Cynon Taf,19.6
W01001274,Tylorstown 1,Rhondda Cynon Taf,77.8
W01001275,Tylorstown 2,Rhondda Cynon Taf,43.4
W01001276,Tylorstown 3,Rhondda Cynon Taf,51.7
W01001277,Tyn-y-nant 1,Rhondda Cynon Taf,7.2
W01001278,Tyn-y-nant 2,Rhondda Cynon Taf,23.7
W01001279,Tyn-y-nant 3,Rhondda Cynon Taf,47.9
W01001280,Ynyshir 1,Rhondda Cynon Taf,50.4
W01001281,Ynyshir 2,Rhondda Cynon Taf,20.9
W01001282,Ynysybwl 1,Rhondda Cynon Taf,34.7
W01001283,Ynysybwl 2,Rhondda Cynon Taf,22.9
W01001284,Ynysybwl 3,Rhondda Cynon Taf,7.3
W01001285,Ystrad 1,Rhondda Cynon Taf,24.5
W01001286,Ystrad 2,Rhondda Cynon Taf,25.5
W01001287,Ystrad 3,Rhondda Cynon Taf,32.7
W01001288,Ystrad 4,Rhondda Cynon Taf,49.3
W01001289,Bedlinog 1,Merthyr Tydfil,28.8
W01001290,Bedlinog 2,Merthyr Tydfil,25.4
W01001291,Cyfarthfa 1,Merthyr Tydfil,15.7
W01001292,Cyfarthfa 2,Merthyr Tydfil,57.9
W01001293,Cyfarthfa 3,Merthyr Tydfil,26.3
W01001294,Cyfarthfa 4,Merthyr Tydfil,4.7
W01001295,Dowlais 1,Merthyr Tydfil,49.4
W01001296,Dowlais 2,Merthyr Tydfil,18.3
W01001297,Dowlais 3,Merthyr Tydfil,24.7
W01001298,Dowlais 4,Merthyr Tydfil,34.5
W01001299,Gurnos 1,Merthyr Tydfil,60.6
W01001300,Gurnos 2,Merthyr Tydfil,51.7
W01001301,Gurnos 3,Merthyr Tydfil,46.5
W01001302,Merthyr Vale 1,Merthyr Tydfil,33.2
W01001303,Merthyr Vale 2,Merthyr Tydfil,65.0
W01001304,Merthyr Vale 3,Merthyr Tydfil,17.7
W01001305,Park 1,Merthyr Tydfil,22.2
W01001306,Park 2,Merthyr Tydfil,15.0
W01001307,Park 3,Merthyr Tydfil,47.5
W01001308,Penydarren 1,Merthyr Tydfil,74.4
W01001309,Penydarren 2,Merthyr Tydfil,39.0
W01001310,Penydarren 3,Merthyr Tydfil,16.9
W01001311,Penydarren 4,Merthyr Tydfil,23.2
W01001312,Plymouth (Merthyr Tydfil) 1,Merthyr Tydfil,31.3
W01001313,Plymouth (Merthyr Tydfil) 2,Merthyr Tydfil,25.5
W01001314,Plymouth (Merthyr Tydfil) 3,Merthyr Tydfil,22.8
W01001315,Town 1,Merthyr Tydfil,35.0
W01001316,Town 2,Merthyr Tydfil,11.9
W01001317,Town 3,Merthyr Tydfil,30.2
W01001318,Town 4,Merthyr Tydfil,18.0
W01001319,Treharris 1,Merthyr Tydfil,6.5
W01001320,Treharris 2,Merthyr Tydfil,21.1
W01001321,Treharris 3,Merthyr Tydfil,25.9
W01001322,Treharris 4,Merthyr Tydfil,26.8
W01001324,Vaynor 2,Merthyr Tydfil,16.2
W01001325,Aberbargoed 1,Caerphilly,34.6
W01001326,Aberbargoed 2,Caerphilly,45.3
W01001327,Abercarn 1,Caerphilly,16.5
W01001328,Abercarn 2,Caerphilly,22.4
W01001329,Abercarn 3,Caerphilly,22.4
W01001330,Aber Valley 1,Caerphilly,22.6
W01001331,Aber Valley 2,Caerphilly,24.6
W01001332,Aber Valley 3,Caerphilly,34.9
W01001333,Aber Valley 4,Caerphilly,34.3
W01001334,Argoed (Caerphilly) 1,Caerphilly,42.0
W01001335,Argoed (Caerphilly) 2,Caerphilly,22.7
W01001336,Bargoed 1,Caerphilly,27.1
W01001337,Bargoed 2,Caerphilly,22.9
W01001338,Bargoed 3,Caerphilly,30.2
W01001339,Bargoed 4,Caerphilly,66.4
W01001340,Bedwas Trethomas and Machen 1,Caerphilly,6.7
W01001341,Bedwas Trethomas and Machen 2,Caerphilly,37.3
W01001342,Bedwas Trethomas and Machen 3,Caerphilly,6.4
W01001343,Bedwas Trethomas and Machen 4,Caerphilly,6.9
W01001344,Bedwas Trethomas and Machen 5,Caerphilly,16.1
W01001345,Bedwas Trethomas and Machen 6,Caerphilly,63.2
W01001346,Bedwas Trethomas and Machen 7,Caerphilly,20.2
W01001347,Blackwood 1,Caerphilly,17.0
W01001348,Blackwood 2,Caerphilly,32.9
W01001349,Blackwood 3,Caerphilly,5.3
W01001350,Blackwood 4,Caerphilly,18.1
W01001351,Blackwood 5,Caerphilly,6.1
W01001352,Cefn Fforest 1,Caerphilly,33.8
W01001353,Cefn Fforest 2,Caerphilly,31.7
W01001354,Crosskeys 1,Caerphilly,13.0
W01001355,Crosskeys 2,Caerphilly,24.1
W01001356,Crumlin 1,Caerphilly,10.3
W01001357,Crumlin 2,Caerphilly,8.4
W01001358,Crumlin 3,Caerphilly,39.6
W01001359,Crumlin 4,Caerphilly,18.5
W01001360,Darren Valley 1,Caerphilly,20.2
W01001361,Darren Valley 2,Caerphilly,48.8
W01001362,Gilfach,Caerphilly,28.8
W01001363,Hengoed (Caerphilly) 1,Caerphilly,24.9
W01001364,Hengoed (Caerphilly) 2,Caerphilly,49.9
W01001365,Hengoed (Caerphilly) 3,Caerphilly,23.5
W01001366,Llanbradach 1,Caerphilly,14.9
W01001367,Llanbradach 2,Caerphilly,17.3
W01001368,Llanbradach 3,Caerphilly,30.3
W01001369,Maesycwmmer,Caerphilly,15.5
W01001370,Morgan Jones 1,Caerphilly,15.8
W01001371,Morgan Jones 2,Caerphilly,40.7
W01001372,Morgan Jones 3,Caerphilly,14.4
W01001373,Morgan Jones 4,Caerphilly,18.5
W01001374,Moriah 1,Caerphilly,33.0
W01001375,Moriah 2,Caerphilly,41.1
W01001376,Moriah 3,Caerphilly,57.3
W01001377,Nelson 1,Caerphilly,14.9
W01001378,Nelson 2,Caerphilly,27.0
W01001379,Nelson 3,Caerphilly,11.2
W01001380,Newbridge 1,Caerphilly,13.5
W01001381,Newbridge 2,Caerphilly,41.9
W01001382,Newbridge 3,Caerphilly,15.3
W01001383,Newbridge 4,Caerphilly,20.8
W01001384,New Tredegar 1,Caerphilly,26.0
W01001385,New Tredegar 2,Caerphilly,40.1
W01001386,New Tredegar 3,Caerphilly,60.3
W01001387,Pengam 1,Caerphilly,29.4
W01001388,Pengam 2,Caerphilly,32.6
W01001389,Pengam 3,Caerphilly,18.6
W01001390,Penmaen 1,Caerphilly,5.2
W01001391,Penmaen 2,Caerphilly,18.0
W01001392,Penmaen 3,Caerphilly,9.1
W01001393,Penyrheol (Caerphilly) 1,Caerphilly,32.6
W01001394,Penyrheol (Caerphilly) 2,Caerphilly,3.4
W01001395,Penyrheol (Caerphilly) 3,Caerphilly,27.1
W01001396,Penyrheol (Caerphilly) 4,Caerphilly,40.2
W01001397,Penyrheol (Caerphilly) 5,Caerphilly,11.4
W01001398,Penyrheol (Caerphilly) 6,Caerphilly,6.2
W01001399,Penyrheol (Caerphilly) 7,Caerphilly,12.0
W01001400,Penyrheol (Caerphilly) 8,Caerphilly,53.9
W01001401,Pontllanfraith 1,Caerphilly,23.8
W01001402,Pontllanfraith 2,Caerphilly,31.5
W01001403,Pontllanfraith 3,Caerphilly,17.0
W01001404,Pontllanfraith 4,Caerphilly,5.6
W01001405,Pontllanfraith 5,Caerphilly,22.5
W01001406,Pontlottyn,Caerphilly,36.2
W01001407,Risca East 1,Caerphilly,13.7
W01001408,Risca East 2,Caerphilly,30.5
W01001409,Risca East 3,Caerphilly,11.2
W01001410,Risca East 4,Caerphilly,26.3
W01001411,Risca West 1,Caerphilly,19.9
W01001412,Risca West 2,Caerphilly,18.6
W01001413,Risca West 3,Caerphilly,24.6
W01001414,St. Cattwg 1,Caerphilly,37.9
W01001415,St. Cattwg 2,Caerphilly,22.2
W01001416,St. Cattwg 3,Caerphilly,17.0
W01001417,St. Cattwg 4,Caerphilly,8.2
W01001418,St. Cattwg 5,Caerphilly,35.7
W01001419,St. James 1,Caerphilly,14.4
W01001420,St. James 2,Caerphilly,9.3
W01001421,St. James 3,Caerphilly,79.8
W01001422,St. James 4,Caerphilly,51.1
W01001423,St. Martins 1,Caerphilly,8.5
W01001424,St. Martins 2,Caerphilly,22.0
W01001425,St. Martins 3,Caerphilly,11.1
W01001426,St. Martins 4,Caerphilly,5.8
W01001427,St. Martins 5,Caerphilly,2.2
W01001428,Twyn Carno 1,Caerphilly,73.7
W01001429,Twyn Carno 2,Caerphilly,29.2
W01001430,Ynysddu 1,Caerphilly,19.1
W01001431,Ynysddu 2,Caerphilly,15.7
W01001432,Ystrad Mynach 1,Caerphilly,12.7
W01001433,Ystrad Mynach 2,Caerphilly,24.0
W01001434,Ystrad Mynach 3,Caerphilly,7.9
W01001435,Abertillery 1,Blaenau Gwent,28.4
W01001436,Abertillery 2,Blaenau Gwent,38.3
W01001437,Abertillery 3,Blaenau Gwent,17.8
W01001438,Badminton 1,Blaenau Gwent,25.5
W01001439,Badminton 2,Blaenau Gwent,14.3
W01001440,Beaufort 1,Blaenau Gwent,25.5
W01001441,Beaufort 2,Blaenau Gwent,40.9
W01001442,Beaufort 3,Blaenau Gwent,10.0
W01001443,Blaina 1,Blaenau Gwent,36.9
W01001444,Blaina 2,Blaenau Gwent,28.5
W01001445,Blaina 3,Blaenau Gwent,22.5
W01001446,Brynmawr 1,Blaenau Gwent,18.1
W01001447,Brynmawr 2,Blaenau Gwent,37.7
W01001448,Brynmawr 3,Blaenau Gwent,26.4
W01001449,Brynmawr 4,Blaenau Gwent,27.1
W01001450,Cwm 1,Blaenau Gwent,23.3
W01001451,Cwm 2,Blaenau Gwent,36.3
W01001452,Cwm 3,Blaenau Gwent,14.6
W01001453,Cwmtillery 1,Blaenau Gwent,47.0
W01001454,Cwmtillery 2,Blaenau Gwent,33.1
W01001455,Cwmtillery 3,Blaenau Gwent,27.6
W01001456,Ebbw Vale North 1,Blaenau Gwent,34.1
W01001457,Ebbw Vale North 2,Blaenau Gwent,54.5
W01001458,Ebbw Vale North 3,Blaenau Gwent,18.0
W01001459,Ebbw Vale South 1,Blaenau Gwent,49.3
W01001460,Ebbw Vale South 2,Blaenau Gwent,27.2
W01001461,Ebbw Vale South 3,Blaenau Gwent,30.8
W01001462,Georgetown 1,Blaenau Gwent,20.3
W01001463,Georgetown 2,Blaenau Gwent,14.2
W01001464,Llanhilleth 1,Blaenau Gwent,41.9
W01001465,Llanhilleth 2,Blaenau Gwent,40.7
W01001466,Llanhilleth 3,Blaenau Gwent,39.7
W01001467,Nantyglo 1,Blaenau Gwent,39.7
W01001468,Nantyglo 2,Blaenau Gwent,33.4
W01001469,Nantyglo 3,Blaenau Gwent,48.8
W01001470,Rassau 1,Blaenau Gwent,15.5
W01001471,Rassau 2,Blaenau Gwent,42.0
W01001472,Sirhowy 1,Blaenau Gwent,15.6
W01001473,Sirhowy 2,Blaenau Gwent,61.2
W01001474,Sirhowy 3,Blaenau Gwent,31.1
W01001475,Sirhowy 4,Blaenau Gwent,20.8
W01001476,Six Bells 1,Blaenau Gwent,41.2
W01001477,Six Bells 2,Blaenau Gwent,21.6
W01001478,Tredegar Central and West 1,Blaenau Gwent,19.5
W01001479,Tredegar Central and West 2,Blaenau Gwent,65.0
W01001480,Tredegar Central and West 3,Blaenau Gwent,41.7
W01001481,Tredegar Central and West 4,Blaenau Gwent,42.7
W01001482,Abersychan 1,Torfaen,36.4
W01001483,Abersychan 2,Torfaen,43.6
W01001484,Abersychan 3,Torfaen,16.2
W01001485,Abersychan 4,Torfaen,37.6
W01001486,Abersychan 5,Torfaen,20.1
W01001487,Blaenavon 1,Torfaen,24.7
W01001488,Blaenavon 2,Torfaen,39.6
W01001489,Blaenavon 3,Torfaen,30.1
W01001490,Blaenavon 4,Torfaen,18.9
W01001491,Brynwern,Torfaen,33.4
W01001492,Coed Eva,Torfaen,13.5
W01001493,Croesyceiliog North 1,Torfaen,20.8
W01001494,Croesyceiliog North 2,Torfaen,8.5
W01001495,Croesyceiliog South,Torfaen,11.4
W01001496,Cwmyniscoy,Torfaen,42.2
W01001497,Fairwater (Torfaen) 1,Torfaen,28.0
W01001498,Fairwater (Torfaen) 2,Torfaen,33.6
W01001499,Fairwater (Torfaen) 3,Torfaen,12.5
W01001500,Fairwater (Torfaen) 4,Torfaen,4.9
W01001501,Greenmeadow 1,Torfaen,38.6
W01001502,Greenmeadow 2,Torfaen,7.6
W01001503,Greenmeadow 3,Torfaen,38.4
W01001504,Llantarnam 1,Torfaen,17.7
W01001505,Llantarnam 2,Torfaen,11.3
W01001506,Llantarnam 3,Torfaen,42.3
W01001507,Llanyrafon North,Torfaen,12.8
W01001508,Llanyrafon South 1,Torfaen,8.9
W01001509,Llanyrafon South 2,Torfaen,3.6
W01001510,New Inn 1,Torfaen,14.3
W01001511,New Inn 2,Torfaen,15.7
W01001512,New Inn 3,Torfaen,3.1
W01001513,New Inn 4,Torfaen,4.7
W01001514,Panteg 1,Torfaen,8.3
W01001515,Panteg 2,Torfaen,13.5
W01001516,Panteg 3,Torfaen,28.1
W01001517,Panteg 4,Torfaen,6.6
W01001518,Panteg 5,Torfaen,6.6
W01001519,Pontnewydd 1,Torfaen,53.2
W01001520,Pontnewydd 2,Torfaen,17.6
W01001521,Pontnewydd 3,Torfaen,20.9
W01001522,Pontnewydd 4,Torfaen,25.4
W01001523,Pontnewynydd,Torfaen,23.8
W01001524,Pontypool,Torfaen,28.1
W01001525,St. Cadocs and Penygarn,Torfaen,34.8
W01001526,St. Dials 1,Torfaen,37.0
W01001527,St. Dials 2,Torfaen,25.9
W01001528,St. Dials 3,Torfaen,23.6
W01001529,Snatchwood,Torfaen,33.3
W01001530,Trevethin 1,Torfaen,63.9
W01001531,Trevethin 2,Torfaen,35.9
W01001532,Two Locks 1,Torfaen,37.7
W01001533,Two Locks 2,Torfaen,3.7
W01001534,Two Locks 3,Torfaen,16.0
W01001535,Two Locks 4,Torfaen,11.0
W01001536,Upper Cwmbran 1,Torfaen,45.6
W01001537,Upper Cwmbran 2,Torfaen,9.9
W01001538,Upper Cwmbran 3,Torfaen,39.0
W01001539,Upper Cwmbran 4,Torfaen,30.5
W01001540,Wainfelin 1,Torfaen,15.2
W01001541,Wainfelin 2,Torfaen,27.3
W01001542,Caerwent,Monmouthshire,9.2
W01001543,Caldicot Castle 1,Monmouthshire,7.4
W01001545,Cantref 1,Monmouthshire,7.2
W01001546,Cantref 2,Monmouthshire,33.4
W01001548,Crucorney,Monmouthshire,13.5
W01001549,Devauden,Monmouthshire,9.3
W01001551,Dewstow & Green Lane 2,Monmouthshire,20.8
W01001552,Dixton with Osbaston,Monmouthshire,3.7
W01001553,Drybridge 1,Monmouthshire,13.8
W01001554,Drybridge 2,Monmouthshire,10.6
W01001555,Goetre Fawr 1,Monmouthshire,7.8
W01001556,Goetre Fawr 2,Monmouthshire,12.5
W01001557,Grofield,Monmouthshire,19.8
W01001558,Lansdown,Monmouthshire,23.5
W01001559,Larkfield,Monmouthshire,9.5
W01001560,Llanbadoc,Monmouthshire,11.2
W01001561,Llanelly Hill 1,Monmouthshire,3.9
W01001562,Llanelly Hill 2,Monmouthshire,17.9
W01001563,Llanelly Hill 3,Monmouthshire,9.5
W01001564,Castle & Llanfoist Fawr,Monmouthshire,15.4
W01001565,Llangybi Fawr,Monmouthshire,11.8
W01001566,Llanover 1,Monmouthshire,21.6
W01001567,Llanover 2,Monmouthshire,20.2
W01001568,Llantilio Crossenny,Monmouthshire,13.1
W01001569,Llanwenarth Ultra,Monmouthshire,11.5
W01001571,Mardy 2,Monmouthshire,13.3
W01001572,Mill 1,Monmouthshire,7.9
W01001573,Mill 2,Monmouthshire,7.4
W01001574,Mill 3,Monmouthshire,5.5
W01001575,Mitchel Troy,Monmouthshire,12.7
W01001576,Overmonnow 1,Monmouthshire,17.2
W01001577,Overmonnow 2,Monmouthshire,31.4
W01001578,Portskewett,Monmouthshire,8.4
W01001579,Priory 1,Monmouthshire,10.6
W01001580,Priory 2,Monmouthshire,15.8
W01001581,Raglan,Monmouthshire,10.0
W01001582,Rogiet,Monmouthshire,12.7
W01001583,St. Arvans,Monmouthshire,11.3
W01001584,St. Christopher's,Monmouthshire,13.4
W01001585,St. Kingsmark 1,Monmouthshire,1.4
W01001586,St. Kingsmark 2,Monmouthshire,3.4
W01001587,St. Mary's,Monmouthshire,17.0
W01001588,Severn 1,Monmouthshire,7.7
W01001589,Severn 2,Monmouthshire,18.3
W01001590,Shirenewton,Monmouthshire,7.5
W01001591,The Elms,Monmouthshire,3.9
W01001592,Thornwell 1,Monmouthshire,30.4
W01001593,Thornwell 2,Monmouthshire,16.6
W01001594,Trellech United 1,Monmouthshire,13.4
W01001595,Trellech United 2,Monmouthshire,9.1
W01001596,Usk 1,Monmouthshire,9.1
W01001597,Usk 2,Monmouthshire,3.2
W01001598,West End,Monmouthshire,24.1
W01001599,Wyesham,Monmouthshire,17.4
W01001600,Allt-yr-yn 1,Newport,3.7
W01001601,Allt-yr-yn 2,Newport,44.4
W01001602,Allt-yr-yn 3,Newport,4.4
W01001603,Allt-yr-yn 4,Newport,20.1
W01001604,Allt-yr-yn 5,Newport,6.6
W01001605,Allt-yr-yn 6,Newport,30.1
W01001606,Alway 1,Newport,9.7
W01001607,Alway 2,Newport,56.9
W01001608,Alway 3,Newport,10.6
W01001609,Alway 4,Newport,51.3
W01001610,Alway 5,Newport,33.0
W01001611,Alway 6,Newport,20.1
W01001612,Beechwood 1,Newport,21.2
W01001613,Beechwood 2,Newport,16.4
W01001614,Beechwood 3,Newport,41.2
W01001615,Beechwood 4,Newport,20.4
W01001616,Beechwood 5,Newport,11.7
W01001617,Bettws (Newport) 1,Newport,62.3
W01001618,Bettws (Newport) 2,Newport,42.7
W01001619,Bettws (Newport) 3,Newport,55.9
W01001620,Bettws (Newport) 4,Newport,37.6
W01001621,Bettws (Newport) 5,Newport,46.1
W01001622,Bettws (Newport) 6,Newport,24.3
W01001623,Caerleon 1,Newport,9.0
W01001624,Caerleon 2,Newport,5.8
W01001625,Caerleon 3,Newport,12.0
W01001626,Caerleon 4,Newport,10.8
W01001627,Caerleon 5,Newport,4.4
W01001628,Caerleon 6,Newport,26.6
W01001629,Gaer 1,Newport,15.2
W01001630,Gaer 2,Newport,36.3
W01001631,Gaer 3,Newport,9.0
W01001632,Gaer 4,Newport,24.6
W01001633,Gaer 5,Newport,46.3
